ark_id,url,title,collection,room,current_location,is_on_display,artist_name,artist_wikidata,height_cm,width_cm,materials_and_techniques,place_of_creation,provenance,acquisition_mode,acquisition_year,start_year,end_year,tags,tag_count,is_mnr,creation_year,painting_age,years_in_collection,area_cm2,has_known_artist,area_quartile,collection_age_band,acquisition_type_en
cl010048442,https://collections.louvre.fr/ark:/53355/cl010048442,Tyché de Constantinople,Département des Arts de Byzance et des chrétientés en Orient,,non exposé,0,,,37.0,,"Matériau : épicéa
Matériau secondaire : encre
Technique : peinture, écriture, badigeonnage",,,partage après fouilles,1922.0,600.0,649.0,couronne|palmette|Tyché|manteau,4,False,624.5,1401.5,104.0,,0,,100+,Other
cl010049217,https://collections.louvre.fr/ark:/53355/cl010049217,peinture,Département des Antiquités égyptiennes,,non exposé,0,,,,,"Matériau : plâtre
Technique : gravure (4 signes gravés au revers dans le plâtre frais. Un cercle incisé sur le pourtour de la peinture, peut être la trace d'un encadrement ?), moulage (2 coulées de plâtre,  le bord a été recouvert d'une deuxième gachée, pas de couture. Moulage possible), moulage (?), peinture",,,affecté au Louvre,1948.0,,,,0,False,,,78.0,,0,,61-80,Other
cl010052603,https://collections.louvre.fr/ark:/53355/cl010052603,Vénitienne,Département des Peintures,,non exposé,0,"Barbault, Jean",Q3170589,,,toile,,,achat,1948.0,1755.0,1759.0,,0,False,1757.0,269.0,78.0,,1,,61-80,Purchase
cl010052604,https://collections.louvre.fr/ark:/53355/cl010052604,"Portrait de Claude François Alby, enfant",Département des Peintures,,non exposé,0,"Bally, Alexandre",,,,huile sur toile,,,don,1947.0,1827.0,,,0,False,1827.0,199.0,79.0,,1,,61-80,Gift
cl010052606,https://collections.louvre.fr/ark:/53355/cl010052606,La Flagellation du Christ,Département des Peintures,,"Castres (France), Musée Goya, salle d'exposition",0,Espagne,,,,bois,,,achat,1942.0,1420.0,,,0,False,1420.0,606.0,84.0,,1,,81-100,Purchase
cl010052607,https://collections.louvre.fr/ark:/53355/cl010052607,La Diligence sous l'orage,Département des Peintures,,"Castres (France), Musée Goya, salle d'exposition",0,Espagne,,,,toile,,,achat,1954.0,1856.0,,,0,False,1856.0,170.0,72.0,,1,,61-80,Purchase
cl010052608,https://collections.louvre.fr/ark:/53355/cl010052608,La Fusillade,Département des Peintures,,"Castres (France), Musée Goya, salle d'exposition",0,"Lucas Velázquez, Eugenio",Q690593,,,toile,,,achat,1954.0,1869.0,,,0,False,1869.0,157.0,72.0,,1,,61-80,Purchase
cl010052609,https://collections.louvre.fr/ark:/53355/cl010052609,Ecce Homo ou Christ aux liens,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,bois,,,don,1950.0,1500.0,1600.0,,0,False,1550.0,476.0,76.0,,0,,61-80,Gift
cl010052610,https://collections.louvre.fr/ark:/53355/cl010052610,La Vierge et l'enfant,Département des Peintures,,"Castres (France), Musée Goya, salle d'exposition",0,Espagne,,,,toile,,,entrée - Collection de Louis XVI,1949.0,1648.0,1650.0,,0,False,1649.0,377.0,77.0,,1,,61-80,Other
cl010052612,https://collections.louvre.fr/ark:/53355/cl010052612,Saint François réconforté par un ange,Département des Peintures,,non exposé,0,Espagne,,,,toile,,,achat,1953.0,1600.0,1650.0,,0,False,1625.0,401.0,73.0,,1,,61-80,Purchase
cl010052613,https://collections.louvre.fr/ark:/53355/cl010052613,Hercule au repos,Département des Peintures,,"Castres (France), Musée Goya",0,Espagne,,,,huile sur toile (transposition),,,ancienne collection,,1600.0,1700.0,,0,False,1650.0,376.0,,,1,,,Historic Collection
cl010052614,https://collections.louvre.fr/ark:/53355/cl010052614,Saint Augustin,Département des Peintures,,"Castres (France), Musée Goya, salle d'exposition",0,Espagne,,,,toile,,,achat,1952.0,1636.0,,,0,False,1636.0,390.0,74.0,,1,,61-80,Purchase
cl010052615,https://collections.louvre.fr/ark:/53355/cl010052615,Philippe IV en chasseur,Département des Peintures,,"Castres (France), Musée Goya, salle d'exposition",0,Espagne,,,,toile,,,achat,1862.0,1632.0,1634.0,,0,False,1633.0,393.0,164.0,,1,,100+,Purchase
cl010052617,https://collections.louvre.fr/ark:/53355/cl010052617,Saint François en oraison,Département des Peintures,,non exposé,0,Espagne,,,,toile,,,achat,1952.0,1600.0,1700.0,,0,False,1650.0,376.0,74.0,,1,,61-80,Purchase
