ark_id,collection_en,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010048442,Byzantine & Eastern Christian Art,Other,,,100+,0,624.5
cl010049217,Egyptian Antiquities,Other,,,61-80,0,
cl010052603,Paintings,Purchase,,,61-80,0,1757.0
cl010052604,Paintings,Gift,,,61-80,0,1827.0
cl010052606,Paintings,Purchase,,,81-100,0,1420.0
cl010052607,Paintings,Purchase,,,61-80,0,1856.0
cl010052608,Paintings,Purchase,,,61-80,0,1869.0
cl010052609,Paintings,Gift,,,61-80,0,1550.0
cl010052610,Paintings,Other,,,61-80,0,1649.0
cl010052612,Paintings,Purchase,,,61-80,0,1625.0
cl010052613,Paintings,Historic Collection,,,,0,1650.0
cl010052614,Paintings,Purchase,,,61-80,0,1636.0
cl010052615,Paintings,Purchase,,,100+,0,1633.0
cl010052617,Paintings,Purchase,,,61-80,0,1650.0
cl010052618,Paintings,Gift,,,81-100,0,1550.0
cl010052619,Paintings,Bequest,,,100+,0,1650.0
cl010052620,Paintings,Purchase,,,61-80,0,1640.0
cl010052621,Paintings,MNR Recovery,,,61-80,0,1650.0
cl010052625,Paintings,Bequest,,,100+,0,1650.0
cl010052626,Paintings,Historic Collection,,,100+,0,1650.0
cl010052627,Paintings,Bequest,,,100+,0,1650.0
cl010052628,Paintings,Bequest,,,100+,0,1650.0
cl010052636,Paintings,Purchase,,,,0,1450.0
cl010052637,Paintings,Historic Collection,,,,0,1650.0
cl010052638,Paintings,Historic Collection,,,,0,1650.0
cl010052639,Paintings,Bequest,,,100+,0,1650.0
cl010052640,Paintings,Bequest,,,100+,0,1650.0
cl010052641,Paintings,Purchase,,,61-80,0,1650.0
cl010052642,Paintings,MNR Recovery,,,61-80,0,1635.0
cl010052643,Paintings,MNR Recovery,,,61-80,0,1650.0
cl010052644,Paintings,MNR Recovery,,,61-80,0,1650.0
cl010052645,Paintings,MNR Recovery,,,61-80,0,1650.0
cl010052649,Paintings,Bequest,,,100+,0,1650.0
cl010052650,Paintings,Bequest,,,100+,0,1650.0
cl010052651,Paintings,Purchase,,,,0,1650.0
cl010052652,Paintings,Bequest,,,,0,1650.0
cl010052653,Paintings,Bequest,,,100+,0,1650.0
cl010052654,Paintings,Bequest,,,,0,1650.0
cl010052655,Paintings,Purchase,,,,0,1650.0
cl010052656,Paintings,Bequest,,,100+,0,1650.0
cl010052658,Paintings,Bequest,,,100+,0,1650.0
cl010052660,Paintings,Other,,,,0,1650.0
cl010052661,Paintings,Historic Collection,,,,0,1650.0
cl010052662,Paintings,Other,,,,0,1650.0
cl010052663,Paintings,Bequest,,,100+,0,1723.0
cl010052664,Paintings,MNR Recovery,,,61-80,0,1850.0
