ark_id,collection,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010048442,Département des Arts de Byzance et des chrétientés en Orient,Other,,,100+,0,624.5
cl010049217,Département des Antiquités égyptiennes,Other,,,61-80,0,
cl010052603,Département des Peintures,Purchase,,,61-80,0,1757.0
cl010052604,Département des Peintures,Gift,,,61-80,0,1827.0
cl010052606,Département des Peintures,Purchase,,,81-100,0,1420.0
cl010052607,Département des Peintures,Purchase,,,61-80,0,1856.0
cl010052608,Département des Peintures,Purchase,,,61-80,0,1869.0
cl010052609,Département des Peintures,Gift,,,61-80,0,1550.0
cl010052610,Département des Peintures,Other,,,61-80,0,1649.0
cl010052612,Département des Peintures,Purchase,,,61-80,0,1625.0
cl010052613,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052614,Département des Peintures,Purchase,,,61-80,0,1636.0
cl010052615,Département des Peintures,Purchase,,,100+,0,1633.0
cl010052617,Département des Peintures,Purchase,,,61-80,0,1650.0
cl010052618,Département des Peintures,Gift,,,81-100,0,1550.0
cl010052619,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052620,Département des Peintures,Purchase,,,61-80,0,1640.0
cl010052621,Département des Peintures,MNR Recovery,,,61-80,0,1650.0
cl010052625,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052626,Département des Peintures,Historic Collection,,,100+,0,1650.0
cl010052627,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052628,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052636,Département des Peintures,Purchase,,,,0,1450.0
cl010052637,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052638,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052639,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052640,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052641,Département des Peintures,Purchase,,,61-80,0,1650.0
cl010052642,Département des Peintures,MNR Recovery,,,61-80,0,1635.0
cl010052643,Département des Peintures,MNR Recovery,,,61-80,0,1650.0
cl010052644,Département des Peintures,MNR Recovery,,,61-80,0,1650.0
cl010052645,Département des Peintures,MNR Recovery,,,61-80,0,1650.0
cl010052649,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052650,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052651,Département des Peintures,Purchase,,,,0,1650.0
cl010052652,Département des Peintures,Bequest,,,,0,1650.0
cl010052653,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052654,Département des Peintures,Bequest,,,,0,1650.0
cl010052655,Département des Peintures,Purchase,,,,0,1650.0
cl010052656,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052658,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052660,Département des Peintures,Other,,,,0,1650.0
cl010052661,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052662,Département des Peintures,Other,,,,0,1650.0
cl010052663,Département des Peintures,Bequest,,,100+,0,1723.0
cl010052664,Département des Peintures,MNR Recovery,,,61-80,0,1850.0
cl010052665,Département des Peintures,MNR Recovery,,,61-80,0,1550.0
cl010052666,Département des Peintures,MNR Recovery,,,61-80,0,1520.0
cl010052667,Département des Peintures,MNR Recovery,,,61-80,0,1681.5
cl010052668,Département des Peintures,MNR Recovery,,,61-80,0,1747.5
cl010052669,Département des Peintures,MNR Recovery,,,61-80,0,1750.0
cl010052671,Département des Peintures,MNR Recovery,,,61-80,0,1550.0
cl010052672,Département des Peintures,MNR Recovery,,,61-80,0,1550.0
cl010052673,Département des Peintures,MNR Recovery,,,61-80,0,1450.0
cl010052674,Département des Peintures,MNR Recovery,,,61-80,0,1450.0
cl010052675,Département des Peintures,MNR Recovery,,,61-80,0,1450.0
cl010052676,Département des Peintures,MNR Recovery,,,61-80,0,1520.0
cl010052677,Département des Peintures,MNR Recovery,,,61-80,0,1650.0
cl010052678,Département des Peintures,MNR Recovery,,,61-80,0,1650.0
cl010052679,Département des Peintures,MNR Recovery,,,61-80,0,1750.0
cl010052680,Département des Peintures,MNR Recovery,,,61-80,0,1614.0
cl010052681,Département des Peintures,MNR Recovery,,,61-80,0,1550.0
cl010052682,Département des Peintures,MNR Recovery,,,61-80,0,1626.0
cl010052683,Département des Peintures,MNR Recovery,,,61-80,0,1650.0
cl010052684,Département des Peintures,MNR Recovery,,,61-80,0,1550.0
