object_id,department,acquisition_type,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
35155,Arms and Armor,Gift,142.79999999999998,Q1 (smallest),1400-1600,1,1582.0
35968,Asian Art,Gift,1981.45695276,Q2,1800-1900,0,1850.0
35969,Asian Art,Purchase/Fund,16424.3,Q4 (largest),1600-1800,0,1732.0
35970,Asian Art,Purchase/Fund,6499.8,Q3,1400-1600,0,1585.0
35971,Asian Art,Purchase/Fund,1041.44,Q1 (smallest),1800-1900,0,1806.0
35972,Asian Art,Purchase/Fund,868.6800000000001,Q1 (smallest),1800-1900,0,1806.0
35973,Asian Art,Purchase/Fund,844.02,Q1 (smallest),1800-1900,0,1806.0
35974,Asian Art,Purchase/Fund,859.65,Q1 (smallest),1800-1900,0,1806.0
35975,Asian Art,Purchase/Fund,806.85,Q1 (smallest),1800-1900,0,1809.0
35977,Asian Art,Purchase/Fund,838.1999999999999,Q1 (smallest),1600-1800,0,1621.0
35979,Asian Art,Purchase/Fund,943.0100000000001,Q1 (smallest),1400-1600,0,1506.0
35981,Asian Art,Purchase/Fund,863.52,Q1 (smallest),1600-1800,0,1640.0
35984,Asian Art,Purchase/Fund,737.76,Q1 (smallest),1600-1800,1,1622.0
35986,Asian Art,Purchase/Fund,854.6999999999999,Q1 (smallest),1600-1800,0,1640.0
35988,Asian Art,Purchase/Fund,1023.04,Q1 (smallest),1600-1800,0,1613.0
35989,Asian Art,Purchase/Fund,1032.24,Q1 (smallest),1600-1800,0,1635.0
35990,Asian Art,Purchase/Fund,771.12,Q1 (smallest),1600-1800,0,1603.0
35992,Asian Art,Purchase/Fund,767.97,Q1 (smallest),1600-1800,0,1604.0
35994,Asian Art,Purchase/Fund,816.75,Q1 (smallest),1600-1800,1,1643.0
35996,Asian Art,Purchase/Fund,806.85,Q1 (smallest),1400-1600,0,1590.0
35998,Asian Art,Purchase/Fund,785.4,Q1 (smallest),1600-1800,0,1640.0
36000,Asian Art,Purchase/Fund,813.24,Q1 (smallest),1600-1800,1,1660.0
36001,Asian Art,Purchase/Fund,828.3000000000001,Q1 (smallest),1600-1800,0,1670.0
36002,Asian Art,Purchase/Fund,752.0699999999999,Q1 (smallest),1600-1800,0,1688.0
36004,Asian Art,Purchase/Fund,597.6800000000001,Q1 (smallest),Pre-1400,0,1350.0
36005,Asian Art,Purchase/Fund,528.24,Q1 (smallest),Pre-1400,0,1215.0
36006,Asian Art,Purchase/Fund,580.72,Q1 (smallest),Pre-1400,1,1240.0
36007,Asian Art,Purchase/Fund,645.07,Q1 (smallest),Pre-1400,0,1216.0
36008,Asian Art,Purchase/Fund,1981.45695276,Q2,1400-1600,0,1572.0
36009,Asian Art,Purchase/Fund,580.72,Q1 (smallest),Pre-1400,0,1183.0
36010,Asian Art,Purchase/Fund,6392.51,Q3,1400-1600,0,1600.0
36011,Asian Art,Purchase/Fund,30988.980000000003,Q4 (largest),1400-1600,0,1483.0
36012,Asian Art,Purchase/Fund,27329.98,Q4 (largest),1400-1600,0,1500.0
36013,Asian Art,Purchase/Fund,5540.25,Q3,1400-1600,0,1524.0
36014,Asian Art,Purchase/Fund,9827.2,Q4 (largest),1600-1800,0,1637.0
36015,Asian Art,Purchase/Fund,4112.17,Q3,1600-1800,0,1721.0
36016,Asian Art,Purchase/Fund,3286.71,Q2,1600-1800,0,1667.0
36017,Asian Art,Purchase/Fund,3188.64,Q2,1800-1900,0,1845.0
36018,Asian Art,Purchase/Fund,31593.119999999995,Q4 (largest),1800-1900,0,1856.0
36019,Asian Art,Purchase/Fund,2205.2799999999997,Q2,1400-1600,0,1558.0
36020,Asian Art,Purchase/Fund,745.2900000000001,Q1 (smallest),1600-1800,0,1640.0
36021,Asian Art,Purchase/Fund,5536.599999999999,Q3,1400-1600,0,1450.0
36022,Asian Art,Purchase/Fund,7187.36,Q3,1400-1600,0,1506.0
36023,Asian Art,Purchase/Fund,8926.2,Q3,1400-1600,0,1532.0
36024,Asian Art,Purchase/Fund,2740.4,Q2,1400-1600,0,1559.0
36025,Asian Art,Purchase/Fund,4858.98,Q3,1600-1800,0,1703.0
36026,Asian Art,Purchase/Fund,2168.1,Q2,1600-1800,0,1778.0
36027,Asian Art,Purchase/Fund,5054.7,Q3,1600-1800,0,1759.0
36028,Asian Art,Gift,6108.73,Q3,1400-1600,0,1600.0
36029,Asian Art,Gift,6366.2,Q3,Pre-1400,0,1324.0
36030,Asian Art,Gift,5845.95,Q3,1400-1600,0,1594.0
36032,Asian Art,Purchase/Fund,7340.6,Q3,1400-1600,0,1506.0
36033,Asian Art,Purchase/Fund,7053.240000000001,Q3,Pre-1400,0,1250.0
36034,Asian Art,Purchase/Fund,13318.15,Q4 (largest),1400-1600,0,1600.0
36035,Asian Art,Purchase/Fund,14338.35,Q4 (largest),1400-1600,0,1550.0
36036,Asian Art,Gift,6813.9,Q3,1600-1800,0,1724.0
36037,Asian Art,Purchase/Fund,645.16,Q1 (smallest),Pre-1400,0,1216.0
36039,Asian Art,Gift,588.53,Q1 (smallest),1400-1600,1,1416.0
36040,Asian Art,Bequest,4228.16,Q3,1400-1600,0,1594.0
36041,Asian Art,Bequest,2998.4700000000003,Q2,Pre-1400,0,1334.0
36042,Asian Art,Bequest,8547.84,Q3,Pre-1400,0,1334.0
36043,Asian Art,Bequest,465.4,Q1 (smallest),1600-1800,0,1724.0
36045,Asian Art,Gift,12684.48,Q4 (largest),1800-1900,0,1900.0
36047,Asian Art,Purchase/Fund,16.28,Q1 (smallest),1600-1800,0,1752.0
36048,Asian Art,Purchase/Fund,29937.08,Q4 (largest),1600-1800,0,1750.0
36049,Asian Art,Purchase/Fund,5509.599999999999,Q3,1600-1800,0,1650.0
36050,Asian Art,Purchase/Fund,13756.35,Q4 (largest),1400-1600,0,1530.0
36051,Asian Art,Purchase/Fund,5146.34,Q3,1400-1600,0,1450.0
36052,Asian Art,Purchase/Fund,624.96,Q1 (smallest),Pre-1400,0,1212.0
36053,Asian Art,Purchase/Fund,629.92,Q1 (smallest),1400-1600,0,1458.0
36054,Asian Art,Purchase/Fund,13536.6,Q4 (largest),1400-1600,0,1550.0
36055,Asian Art,Purchase/Fund,655.1999999999999,Q1 (smallest),Pre-1400,0,1238.0
36056,Asian Art,Purchase/Fund,634.4,Q1 (smallest),Pre-1400,0,1285.0
36057,Asian Art,Purchase/Fund,7961.6,Q3,Pre-1400,0,1345.0
36058,Asian Art,Purchase/Fund,16229.029999999999,Q4 (largest),1400-1600,0,1562.0
36059,Asian Art,Purchase/Fund,6944.3099999999995,Q3,1600-1800,0,1724.0
36060,Asian Art,Purchase/Fund,14639.24,Q4 (largest),1800-1900,0,1874.0
36061,Asian Art,Purchase/Fund,18720.24,Q4 (largest),1400-1600,0,1500.0
36062,Asian Art,Purchase/Fund,1250.48,Q2,1400-1600,0,1497.0
36063,Asian Art,Purchase/Fund,879.1999999999999,Q1 (smallest),Pre-1400,0,1250.0
36064,Asian Art,Purchase/Fund,597.6800000000001,Q1 (smallest),Pre-1400,0,1240.0
36065,Asian Art,Purchase/Fund,759.1999999999999,Q1 (smallest),Pre-1400,0,1368.0
36066,Asian Art,Gift,628.26,Q1 (smallest),1900-1950,0,1916.0
36067,Asian Art,Bequest,19428.64,Q4 (largest),1400-1600,0,1548.0
36068,Asian Art,Gift,6372.080000000001,Q3,1400-1600,0,1450.0
36069,Asian Art,Gift,20303.28,Q4 (largest),1600-1800,0,1700.0
36070,Asian Art,Gift,5674.69,Q3,1400-1600,0,1500.0
36071,Asian Art,Gift,3753.66,Q3,1600-1800,0,1750.0
36072,Asian Art,Gift,4110.23728,Q3,1600-1800,0,1675.0
36073,Asian Art,Purchase/Fund,613.1999999999999,Q1 (smallest),1900-1950,0,1941.0
