object_id,object_id,title,artist_name,artist_nationality,artist_begin_date,artist_end_date,object_begin_date,object_end_date,medium,dimensions,department,culture,period,credit_line,accession_year,is_public_domain,is_highlight,height_cm,width_cm,gallery_number,is_on_display,tags
35155,35155,"Guidobaldo II della Rovere, Duke of Urbino (1514–1574), With his  Armor by Filippo Negroli",,,,,1555,1610,Oil on copper,5 1/2 x 4 in. (14 x 10.2 cm); frame: 7 1/8 x 4 7/8 in. (18.1 x 12.5 cm),Arms and Armor,Italian,,"Purchase, Arthur Ochs Sulzberger Gift, 2009",2009,True,False,,,374,1,Armor|Men|Portraits
35155,35155,"Guidobaldo II della Rovere, Duke of Urbino (1514–1574), With his  Armor by Filippo Negroli",,,,,1555,1610,Oil on copper,5 1/2 x 4 in. (14 x 10.2 cm); frame: 7 1/8 x 4 7/8 in. (18.1 x 12.5 cm),Arms and Armor,Italian,,"Purchase, Arthur Ochs Sulzberger Gift, 2009",2009,True,False,,,374,1,Armor|Men|Portraits
35968,35968,清  佚名  台南地區荷蘭城堡|Forts Zeelandia and Provintia and the City of Tainan,Unidentified artist, ,          ,          ,1800,1899,Wall hanging; ink and color on deerskin,"Image: 59 1/4 × 80 3/4 in. (150.5 × 205.1 cm)
Overall with decorative borders: 68 5/8 × 90 1/4 in. (174.3 × 229.2 cm)",Asian Art,China,,"Gift of J. Pierpont Morgan, 1909",1909,True,False,110.6,,,0,Houses|Cities|Boats|Ships|Maps
35968,35968,清  佚名  台南地區荷蘭城堡|Forts Zeelandia and Provintia and the City of Tainan,Unidentified artist, ,          ,          ,1800,1899,Wall hanging; ink and color on deerskin,"Image: 59 1/4 × 80 3/4 in. (150.5 × 205.1 cm)
Overall with decorative borders: 68 5/8 × 90 1/4 in. (174.3 × 229.2 cm)",Asian Art,China,,"Gift of J. Pierpont Morgan, 1909",1909,True,False,,0.31750062,,0,Houses|Cities|Boats|Ships|Maps
35969,35969,,Jin Zunnian,Chinese,1700      ,1800      ,1732,1732,Hanging scroll; ink and color on silk,67 x 38 in. (170.2 x 96.5 cm),Asian Art,China,Qing dynasty (1644–1911),"Rogers Fund, 1912",1912,False,False,170.2,96.5,,0,Parrots
35969,35969,,Jin Zunnian,Chinese,1700      ,1800      ,1732,1732,Hanging scroll; ink and color on silk,67 x 38 in. (170.2 x 96.5 cm),Asian Art,China,Qing dynasty (1644–1911),"Rogers Fund, 1912",1912,False,False,170.2,96.5,,0,Parrots
35970,35970,明   丁雲鵬   潯陽送客圖   軸|Song of the Lute,Ding Yunpeng,Chinese,1547      ,1628      ,1585,1585,Hanging scroll; ink and color on paper,Image: 55 5/8 x 18 1/8 in. (141.3 x 46 cm),Asian Art,China,late Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Mountains|Trees|Boats
35970,35970,明   丁雲鵬   潯陽送客圖   軸|Song of the Lute,Ding Yunpeng,Chinese,1547      ,1628      ,1585,1585,Hanging scroll; ink and color on paper,Image: 55 5/8 x 18 1/8 in. (141.3 x 46 cm),Asian Art,China,late Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Mountains|Trees|Boats
35971,35971,清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,1700,1911,Hanging scroll; ink on silk,14 1/2 x 11 1/8 in. (36.8 x 28.3 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,36.8,28.3,,0,Mountains|Landscapes
35971,35971,清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,1700,1911,Hanging scroll; ink on silk,14 1/2 x 11 1/8 in. (36.8 x 28.3 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,36.8,28.3,,0,Mountains|Landscapes
35972,35972,清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,1700,1911,Folding fan mounted as an album leaf; ink and color on paper,6 3/4 x 20 in. (17.1 x 50.8 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,17.1,50.8,,0,Houses|Landscapes|Boats
35972,35972,清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,1700,1911,Folding fan mounted as an album leaf; ink and color on paper,6 3/4 x 20 in. (17.1 x 50.8 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,17.1,50.8,,0,Houses|Landscapes|Boats
35973,35973,清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong,Wang Jian|Unidentified artist,Chinese| ,1609      |          ,1677      |          ,1700,1911,Folding fan mounted as an album leaf; ink and color on paper,6 3/8 x 20 1/2 in. (16.2 x 52.1 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.2,52.1,,0,Landscapes
35973,35973,清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong,Wang Jian|Unidentified artist,Chinese| ,1609      |          ,1677      |          ,1700,1911,Folding fan mounted as an album leaf; ink and color on paper,6 3/8 x 20 1/2 in. (16.2 x 52.1 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.2,52.1,,0,Landscapes
35974,35974,清   倣王時敏  山水  扇面|Landscape,Wang Shimin|Unidentified artist,Chinese| ,1592      |          ,1680      |          ,1700,1911,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 1/2 in. (16.5 x 52.1 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,52.1,,0,Mountains|Landscapes
35974,35974,清   倣王時敏  山水  扇面|Landscape,Wang Shimin|Unidentified artist,Chinese| ,1592      |          ,1680      |          ,1700,1911,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 1/2 in. (16.5 x 52.1 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,52.1,,0,Mountains|Landscapes
