object_id,title,artist_name,object_begin_date,object_end_date,painting_age,creation_year,height_cm,width_cm,area_cm2,accession_year,years_in_collection,artist_work_count,tag_count,is_public_domain,is_highlight,department,has_known_artist,primary_medium,support,nationality_group,acquisition_type,tag_men,tag_women,tag_landscapes,tag_portraits,tag_mountains,tag_trees,tag_flowers,tag_birds,tag_horses,tag_abstraction,tag_count.1,is_on_display,medium,culture,period,tags,gallery_number,credit_line,area_quartile,acquisition_encoded,collection_age_band,department_encoded,primary_medium_encoded,support_encoded,nationality_group_encoded,acquisition_type_encoded
35155,"Guidobaldo II della Rovere, Duke of Urbino (1514–1574), With his  Armor by Filippo Negroli",,1555,1610,444.0,1582.0,14.0,10.2,142.79999999999998,2009.0,17.0,0,3,True,False,Arms and Armor,0,Oil,Copper,Unknown,Gift,1,0,0,1,0,0,0,0,0,0,3,1,Oil on copper,Italian,,Armor|Men|Portraits,374.0,"Purchase, Arthur Ochs Sulzberger Gift, 2009",Q1 (smallest),1,0-20,0,5,1,16,1
35968,清  佚名  台南地區荷蘭城堡|Forts Zeelandia and Provintia and the City of Tainan,Unidentified artist,1800,1899,176.0,1850.0,110.6,53.0,5861.799999999999,1909.0,117.0,0,5,True,False,Asian Art,0,Ink,Other,Other,Gift,0,0,0,0,0,0,0,0,0,0,5,0,Wall hanging; ink and color on deerskin,China,,Houses|Cities|Boats|Ships|Maps,,"Gift of J. Pierpont Morgan, 1909",Q3,1,100+,2,4,4,12,1
35969,,Jin Zunnian,1732,1732,294.0,1732.0,170.2,96.5,16424.3,1912.0,114.0,1,1,False,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,0,0,0,0,0,0,0,0,0,0,1,0,Hanging scroll; ink and color on silk,China,Qing dynasty (1644–1911),Parrots,,"Rogers Fund, 1912",Q4 (largest),3,100+,2,4,6,2,3
35970,明   丁雲鵬   潯陽送客圖   軸|Song of the Lute,Ding Yunpeng,1585,1585,441.0,1585.0,141.3,46.0,6499.8,1913.0,113.0,2,3,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,0,0,1,1,0,0,0,0,3,0,Hanging scroll; ink and color on paper,China,late Ming dynasty (1368–1644),Mountains|Trees|Boats,,"John Stewart Kennedy Fund, 1913",Q3,3,100+,2,4,5,2,3
35971,清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng,Wang Hui|Unidentified artist,1700,1911,220.0,1806.0,36.8,28.3,1041.44,1913.0,113.0,5,2,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Hanging scroll; ink on silk,China,Qing dynasty (1644–1911),Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,6,2,3
35972,清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts,Wang Hui|Unidentified artist,1700,1911,220.0,1806.0,17.1,50.8,868.6800000000001,1913.0,113.0,5,3,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,3,0,Folding fan mounted as an album leaf; ink and color on paper,China,Qing dynasty (1644–1911),Houses|Landscapes|Boats,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35973,清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong,Wang Jian|Unidentified artist,1700,1911,220.0,1806.0,16.2,52.1,844.02,1913.0,113.0,1,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,1,0,Folding fan mounted as an album leaf; ink and color on paper,China,Qing dynasty (1644–1911),Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35974,清   倣王時敏  山水  扇面|Landscape,Wang Shimin|Unidentified artist,1700,1911,220.0,1806.0,16.5,52.1,859.65,1913.0,113.0,1,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Folding fan mounted as an album leaf; ink on gold paper,China,Qing dynasty (1644–1911),Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35975,清   佚名   倣王翬   臨燕文貴勘書圖   扇|Landscape in the Style of Yan Wengui,Wang Hui|Unidentified artist,1707,1911,217.0,1809.0,16.5,48.9,806.85,1913.0,113.0,5,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,1,0,Folding fan mounted as an album leaf; ink and color on paper,China,Qing dynasty (1644–1911),Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35977,明（？）　陸克正　倣北苑山水　扇|Landscape in the manner of Dong Yuan,Dong Yuan|Lu Kezheng,1591,1651,405.0,1621.0,16.5,50.8,838.1999999999999,1913.0,113.0,1,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,1,0,Folding fan mounted as an album leaf; ink on gold paper,China,Ming (1368–1644) or Qing (1644–1911) dynasty,Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35979,明/清　佚名　倣文徴明　山水　扇|Landscape,Wen Zhengming|Unidentified artist,1368,1644,520.0,1506.0,18.1,52.1,943.01,1913.0,113.0,4,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Folding fan mounted as an album leaf; ink and color on gold-flecked paper,China,Ming dynasty (1368–1644) or later,Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35981,明/清   沈顥   漁父圖   扇|Qu Yuan and the Fisherman,Shen Hao,1630,1650,386.0,1640.0,16.8,51.4,863.52,1913.0,113.0,1,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,1,0,Folding fan mounted as an album leaf; ink on gold paper,China,Ming (1368–1644) or Qing dynasty (1644–1911),Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35984,明   宋懋晉   樓居圖   扇|Dwelling in Landscape,Song Maojin|Unidentified artist,1600,1644,404.0,1622.0,15.9,46.4,737.76,1913.0,113.0,1,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,1,0,0,0,0,2,1,Folding fan mounted as an album leaf; ink and color on gold paper,China,Ming dynasty (1368–1644),Landscapes|Trees,212.0,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35986,明    程嘉燧   園鷄圖   扇|Landscape with Chicken,Cheng Jiasui,1368,1911,386.0,1640.0,16.5,51.8,854.6999999999999,1913.0,113.0,2,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,0,0,0,0,0,0,0,0,1,0,Folding fan mounted as an album leaf; ink on gold paper,China,Ming (1368–1644)–Qing (1644–1911) dynasty,Roosters,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35988,明　李流芳　疏林小景　扇|Figure standing in a grove of trees,Li Liufang,1613,1613,413.0,1613.0,18.4,55.6,1023.04,1913.0,113.0,1,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,0,0,0,1,0,0,0,0,1,0,Folding fan mounted as an album leaf; ink on gold paper,China,Ming dynasty (1368–1644),Trees,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35989,明   陳季淳   山水人物圖  扇頁|Landscape with figure,Chen Jichun,1635,1635,391.0,1635.0,18.7,55.2,1032.24,1913.0,113.0,1,3,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,1,0,0,0,0,3,0,Folding fan mounted as an album leaf; ink and color on gold paper,China,Ming dynasty (1368–1644),Landscapes|Trees|Pavilions,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35990,明　吳彬　翠壁丹楓　扇|Azure Cliff with Red Maples,Wu Bin,1603,1603,423.0,1603.0,16.2,47.6,771.12,1913.0,113.0,2,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,1,0,Folding fan mounted as an album leaf; ink and color on paper,China,Ming dynasty (1368–1644),Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35992,明/清   潘雲馭   秋江落照   扇|Setting Sun on the Autumn River,Pan Yunyu,1604,1604,422.0,1604.0,15.9,48.3,767.97,1913.0,113.0,1,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,2,0,Folding fan mounted as an album leaf; ink and color on gold paper,China,Ming dynasty (1368–1644),Landscapes|Boats,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35994,明/清   祁豸佳   山水 圖|Landscape with fisherman,Qi Zhijia,1643,1643,383.0,1643.0,16.5,49.5,816.75,1913.0,113.0,3,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,1,1,Folding fan mounted as an album leaf; ink on paper,China,Ming dynasty (1368–1644),Landscapes,212.0,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
