tag_list,mean,count
Aaron,1.0,1
Abel,0.5,2
Abraham,0.4,5
Abraham Lincoln,0.0,1
Abstraction,0.032467532467532464,308
Accordions,0.0,3
Acrobats,0.0,4
Actaeon,1.0,1
Actors,0.3125,16
Actresses,0.0,1
Adam,0.75,4
Admirals,0.0,2
Adonis,0.5,2
Adoration of the Magi,0.7368421052631579,19
Adoration of the Shepherds,0.6666666666666666,9
Aeneas,1.0,2
Aeneid,1.0,2
Agony in the Garden,0.5,2
Agriculture,1.0,1
Ahasuerus,0.0,2
Alexander The Great,0.5,2
Allegory,0.36363636363636365,22
Alligators,0.0,1
Altars,0.6,5
Amazons,1.0,1
American Revolution,1.0,1
Amoghasiddhi,0.0,2
Amusement Parks,0.0,1
Andromache,1.0,1
Angels,0.5732484076433121,157
Anger,0.0,2
Animals,0.07575757575757576,66
Annunciation,0.6538461538461539,26
Apollo,0.5,6
Apostles,0.5,10
Apples,0.47058823529411764,34
Aqueducts,0.6666666666666666,3
Archangel Gabriel,0.6842105263157895,19
Archery,0.0,2
Arches,0.2,15
Architects,1.0,1
Architecture,0.0,8
Argonauts,1.0,2
Ariadne,0.0,3
Armor,0.631578947368421,19
Arms,0.0,1
Army,0.0,5
Arrows,0.0,3
Artists,0.2857142857142857,28
Assumption of the Virgin,0.3333333333333333,3
Astrology,0.0,1
Athena,0.0,1
Athletes,0.5,2
Autumn,0.14285714285714285,14
Avalokiteshvara,0.0,15
Axes,0.0,1
Bacchantes,1.0,1
Bacchus,0.2,5
Bagpipes,0.5,2
Bakers,1.0,1
Balconies,0.6,5
Ballet,0.8333333333333334,6
Bamboo,0.06329113924050633,79
Bananas,0.5,2
Banquets,0.42857142857142855,7
Baptism of Christ,1.0,4
Barns,0.0,4
Barrels,0.3333333333333333,3
Baseball,0.0,1
Basins,0.0,1
Baskets,0.25,8
Bathing,0.3333333333333333,15
Bathsheba,1.0,2
Bats,1.0,1
Battles,0.1724137931034483,29
Beaches,0.2608695652173913,23
Bearing the Cross,0.8181818181818182,11
Bears,0.1,10
Bedrooms,0.5416666666666666,24
Beds,0.3235294117647059,34
Bees,0.14285714285714285,7
Benches,0.3333333333333333,3
Benjamin Franklin,0.5,2
Bicycles,0.0,2
Billiards,0.3333333333333333,3
Birds,0.06006006006006006,333
Birth,0.0,1
Bishops,0.6,5
Blacksmiths,1.0,1
Boars,0.0,9
Boats,0.19696969696969696,264
Bodhisattvas,0.02586206896551724,116
Books,0.375,48
Bottles,0.23076923076923078,13
Bow and Arrow,0.17391304347826086,23
Bowls,0.0,4
Boxes,0.5,2
Boxing,0.3333333333333333,3
Boys,0.25196850393700787,127
Brahma,0.0,3
Bread,0.5,12
Bridges,0.15625,64
Brooms,0.0,2
Brushes,0.09090909090909091,11
Bubbles,1.0,2
Buddha,0.041666666666666664,96
Buddhism,0.02120141342756184,283
Buffalos,0.0,20
Buildings,0.2230769230769231,130
Bulls,0.18181818181818182,11
Burials,0.0,2
Butterflies,0.034482758620689655,29
Cafe,0.0,2
