tag_list,mean,count
Saint Peter,75.0,24
Jesus,69.84126984126983,63
Mary Magdalene,69.23076923076923,39
Cross,68.18181818181817,22
Saint Francis,66.66666666666666,27
Saint John the Baptist,66.12903225806451,62
Annunciation,65.38461538461539,26
Saint Catherine,65.21739130434783,23
Saint Jerome,65.0,20
Sadness,65.0,20
Saint John the Evangelist,64.86486486486487,37
Christ,62.7906976744186,172
Crucifixion,61.53846153846154,52
Virgin Mary,61.44578313253012,166
Nativity,58.333333333333336,24
Angels,57.324840764331206,157
Music,57.14285714285714,21
Holy Family,56.52173913043478,23
Putti,56.25,32
Food,54.54545454545454,33
